"","data3.DspProbCodeDescription","data3.PrimaryProbDescription","Freq"
"62","Alcohol Intoxication","Abdominal Pain NYD",0
"63","Altered LOC","Abdominal Pain NYD",2
"64","Anaphylaxis","Abdominal Pain NYD",2
"65","Back Pain","Abdominal Pain NYD",0
"66","Behaviour/Psychiatric","Abdominal Pain NYD",0
"67","Cardiac Trauma","Abdominal Pain NYD",0
"68","Cardiac/Medical Arrest","Abdominal Pain NYD",1
"69","Chest Trauma","Abdominal Pain NYD",0
"70","CHF","Abdominal Pain NYD",0
"71","Confusion/Disorientation","Abdominal Pain NYD",0
"72","Convalescent/Invalid/Return Home","Abdominal Pain NYD",0
"73","Diabetic Emergency","Abdominal Pain NYD",0
"74","Drug Overdose","Abdominal Pain NYD",0
"75","Exposure","Abdominal Pain NYD",0
"76","General Illness/Weakness","Abdominal Pain NYD",3
"77","GI Problems/Pain/Vomiting/Nausea","Abdominal Pain NYD",7
"78","GU Problem/Pain","Abdominal Pain NYD",1
"79","Gynecological Emergency","Abdominal Pain NYD",0
"80","Head/Brain Trauma","Abdominal Pain NYD",0
"81","Headache","Abdominal Pain NYD",0
"82","Hemorrhage Minor","Abdominal Pain NYD",0
"83","Hemorrhage/Hypovolemia Major","Abdominal Pain NYD",0
"84","Hypotension Non-Traumatic","Abdominal Pain NYD",0
"85","Inhalation Injury","Abdominal Pain NYD",0
"86","Ischemic Chest Pain","Abdominal Pain NYD",31
"87","Lift Assist (Dispatch Only)","Abdominal Pain NYD",0
"88","Local Allergic Reaction","Abdominal Pain NYD",0
"89","Musk/Skel Trauma","Abdominal Pain NYD",1
"90","MVC (Dispatch Only)","Abdominal Pain NYD",1
"91","Myocardial Infarction(Dx)","Abdominal Pain NYD",0
"92","Newborn/Neonatal","Abdominal Pain NYD",0
"93","Obstetrical Emergency","Abdominal Pain NYD",1
"94","Obstruc./Anatomical/Med/Other","Abdominal Pain NYD",0
"95","Obstruc./Foreign Body","Abdominal Pain NYD",0
"96","Organ Donor","Abdominal Pain NYD",0
"97","Organ Retrieval","Abdominal Pain NYD",0
"98","Other Cardiac","Abdominal Pain NYD",0
"99","Other Medical/Trauma","Abdominal Pain NYD",6
"100","Palpitations","Abdominal Pain NYD",0
"101","Paralysis/Spinal Trauma","Abdominal Pain NYD",0
"102","Poisoning/Toxic Exposure","Abdominal Pain NYD",1
"103","Resp. Arrest","Abdominal Pain NYD",0
"104","Resp. Disease","Abdominal Pain NYD",0
"105","Resp. Distress","Abdominal Pain NYD",21
"106","Seizure/Post Ictal","Abdominal Pain NYD",1
"107","Sepsis (Prev. Dx)","Abdominal Pain NYD",0
"108","Stroke/TIA","Abdominal Pain NYD",1
"109","Syncope","Abdominal Pain NYD",0
"110","Trauma Unknown (Dispatch Only)","Abdominal Pain NYD",1
"111","Traumatic Arrest","Abdominal Pain NYD",0
"112","Treatment - Diagnostic/Return","Abdominal Pain NYD",0
"113","Unconscious","Abdominal Pain NYD",1
"114","Unknown (Dispatch Only)","Abdominal Pain NYD",0
"115","","Alcohol Intoxication",6
"116","Abdominal Pain NYD","Alcohol Intoxication",0
"117","Abdominal Trauma","Alcohol Intoxication",0
"118","Airway Trauma","Alcohol Intoxication",1
"119","Alcohol Intoxication","Alcohol Intoxication",26
"120","Altered LOC","Alcohol Intoxication",1
"121","Anaphylaxis","Alcohol Intoxication",0
"122","Back Pain","Alcohol Intoxication",1
"123","Behaviour/Psychiatric","Alcohol Intoxication",0
"124","Cardiac Trauma","Alcohol Intoxication",0
"125","Cardiac/Medical Arrest","Alcohol Intoxication",0
"126","Chest Trauma","Alcohol Intoxication",0
"127","CHF","Alcohol Intoxication",0
"128","Confusion/Disorientation","Alcohol Intoxication",0
"129","Convalescent/Invalid/Return Home","Alcohol Intoxication",0
"130","Diabetic Emergency","Alcohol Intoxication",0
"131","Drug Overdose","Alcohol Intoxication",2
"132","Exposure","Alcohol Intoxication",1
"133","General Illness/Weakness","Alcohol Intoxication",0
"134","GI Problems/Pain/Vomiting/Nausea","Alcohol Intoxication",1
"135","GU Problem/Pain","Alcohol Intoxication",0
"136","Gynecological Emergency","Alcohol Intoxication",0
"137","Head/Brain Trauma","Alcohol Intoxication",0
"138","Headache","Alcohol Intoxication",0
"139","Hemorrhage Minor","Alcohol Intoxication",0
"140","Hemorrhage/Hypovolemia Major","Alcohol Intoxication",0
"141","Hypotension Non-Traumatic","Alcohol Intoxication",0
"142","Inhalation Injury","Alcohol Intoxication",0
"143","Ischemic Chest Pain","Alcohol Intoxication",1
"144","Lift Assist (Dispatch Only)","Alcohol Intoxication",0
"145","Local Allergic Reaction","Alcohol Intoxication",0
"146","Musk/Skel Trauma","Alcohol Intoxication",0
"147","MVC (Dispatch Only)","Alcohol Intoxication",0
"148","Myocardial Infarction(Dx)","Alcohol Intoxication",0
"149","Newborn/Neonatal","Alcohol Intoxication",0
"150","Obstetrical Emergency","Alcohol Intoxication",0
"151","Obstruc./Anatomical/Med/Other","Alcohol Intoxication",0
"152","Obstruc./Foreign Body","Alcohol Intoxication",0
"153","Organ Donor","Alcohol Intoxication",0
"154","Organ Retrieval","Alcohol Intoxication",0
"155","Other Cardiac","Alcohol Intoxication",0
"156","Other Medical/Trauma","Alcohol Intoxication",5
"157","Palpitations","Alcohol Intoxication",0
"158","Paralysis/Spinal Trauma","Alcohol Intoxication",0
"159","Poisoning/Toxic Exposure","Alcohol Intoxication",0
"160","Resp. Arrest","Alcohol Intoxication",0
"161","Resp. Disease","Alcohol Intoxication",0
"162","Resp. Distress","Alcohol Intoxication",1
"163","Seizure/Post Ictal","Alcohol Intoxication",1
"164","Sepsis (Prev. Dx)","Alcohol Intoxication",0
"165","Stroke/TIA","Alcohol Intoxication",0
"166","Syncope","Alcohol Intoxication",0
"167","Trauma Unknown (Dispatch Only)","Alcohol Intoxication",0
"168","Traumatic Arrest","Alcohol Intoxication",0
"169","Treatment - Diagnostic/Return","Alcohol Intoxication",0
"170","Unconscious","Alcohol Intoxication",12
"171","Unknown (Dispatch Only)","Alcohol Intoxication",1
"172","","Altered LOC",19
"173","Abdominal Pain NYD","Altered LOC",0
"174","Abdominal Trauma","Altered LOC",0
"175","Airway Trauma","Altered LOC",0
"176","Alcohol Intoxication","Altered LOC",0
"177","Altered LOC","Altered LOC",43
"178","Anaphylaxis","Altered LOC",0
"179","Back Pain","Altered LOC",0
"180","Behaviour/Psychiatric","Altered LOC",0
"181","Cardiac Trauma","Altered LOC",0
"182","Cardiac/Medical Arrest","Altered LOC",2
"183","Chest Trauma","Altered LOC",0
"184","CHF","Altered LOC",0
"185","Confusion/Disorientation","Altered LOC",3
"186","Convalescent/Invalid/Return Home","Altered LOC",0
"187","Diabetic Emergency","Altered LOC",4
"188","Drug Overdose","Altered LOC",2
"189","Exposure","Altered LOC",0
"190","General Illness/Weakness","Altered LOC",1
"191","GI Problems/Pain/Vomiting/Nausea","Altered LOC",0
"192","GU Problem/Pain","Altered LOC",0
"193","Gynecological Emergency","Altered LOC",0
"194","Head/Brain Trauma","Altered LOC",1
"195","Headache","Altered LOC",0
"196","Hemorrhage Minor","Altered LOC",0
"197","Hemorrhage/Hypovolemia Major","Altered LOC",1
"198","Hypotension Non-Traumatic","Altered LOC",0
"199","Inhalation Injury","Altered LOC",0
"200","Ischemic Chest Pain","Altered LOC",1
"201","Lift Assist (Dispatch Only)","Altered LOC",0
"202","Local Allergic Reaction","Altered LOC",0
"203","Musk/Skel Trauma","Altered LOC",0
"204","MVC (Dispatch Only)","Altered LOC",4
"205","Myocardial Infarction(Dx)","Altered LOC",0
"206","Newborn/Neonatal","Altered LOC",0
"207","Obstetrical Emergency","Altered LOC",0
"208","Obstruc./Anatomical/Med/Other","Altered LOC",0
"209","Obstruc./Foreign Body","Altered LOC",0
"210","Organ Donor","Altered LOC",0
"211","Organ Retrieval","Altered LOC",0
"212","Other Cardiac","Altered LOC",0
"213","Other Medical/Trauma","Altered LOC",2
"214","Palpitations","Altered LOC",0
"215","Paralysis/Spinal Trauma","Altered LOC",0
"216","Poisoning/Toxic Exposure","Altered LOC",0
"217","Resp. Arrest","Altered LOC",0
"218","Resp. Disease","Altered LOC",0
"219","Resp. Distress","Altered LOC",7
"220","Seizure/Post Ictal","Altered LOC",4
"221","Sepsis (Prev. Dx)","Altered LOC",0
"222","Stroke/TIA","Altered LOC",5
"223","Syncope","Altered LOC",1
"224","Trauma Unknown (Dispatch Only)","Altered LOC",0
"225","Traumatic Arrest","Altered LOC",0
"226","Treatment - Diagnostic/Return","Altered LOC",1
"227","Unconscious","Altered LOC",25
"228","Unknown (Dispatch Only)","Altered LOC",2
"229","","Anaphylaxis",7
"230","Abdominal Pain NYD","Anaphylaxis",0
"231","Abdominal Trauma","Anaphylaxis",0
"232","Airway Trauma","Anaphylaxis",0
"233","Alcohol Intoxication","Anaphylaxis",0
"234","Altered LOC","Anaphylaxis",0
"235","Anaphylaxis","Anaphylaxis",22
"236","Back Pain","Anaphylaxis",0
"237","Behaviour/Psychiatric","Anaphylaxis",0
"238","Cardiac Trauma","Anaphylaxis",0
"239","Cardiac/Medical Arrest","Anaphylaxis",0
"240","Chest Trauma","Anaphylaxis",0
"241","CHF","Anaphylaxis",0
"242","Confusion/Disorientation","Anaphylaxis",0
"243","Convalescent/Invalid/Return Home","Anaphylaxis",0
"244","Diabetic Emergency","Anaphylaxis",0
"245","Drug Overdose","Anaphylaxis",0
"246","Exposure","Anaphylaxis",0
"247","General Illness/Weakness","Anaphylaxis",0
"248","GI Problems/Pain/Vomiting/Nausea","Anaphylaxis",0
"249","GU Problem/Pain","Anaphylaxis",0
"250","Gynecological Emergency","Anaphylaxis",0
"251","Head/Brain Trauma","Anaphylaxis",0
"252","Headache","Anaphylaxis",0
"253","Hemorrhage Minor","Anaphylaxis",0
"254","Hemorrhage/Hypovolemia Major","Anaphylaxis",0
"255","Hypotension Non-Traumatic","Anaphylaxis",0
"256","Inhalation Injury","Anaphylaxis",0
"257","Ischemic Chest Pain","Anaphylaxis",0
"258","Lift Assist (Dispatch Only)","Anaphylaxis",0
"259","Local Allergic Reaction","Anaphylaxis",1
"260","Musk/Skel Trauma","Anaphylaxis",0
"261","MVC (Dispatch Only)","Anaphylaxis",0
"262","Myocardial Infarction(Dx)","Anaphylaxis",0
"263","Newborn/Neonatal","Anaphylaxis",0
"264","Obstetrical Emergency","Anaphylaxis",0
"265","Obstruc./Anatomical/Med/Other","Anaphylaxis",0
"266","Obstruc./Foreign Body","Anaphylaxis",1
"267","Organ Donor","Anaphylaxis",0
"268","Organ Retrieval","Anaphylaxis",0
"269","Other Cardiac","Anaphylaxis",0
"270","Other Medical/Trauma","Anaphylaxis",1
"271","Palpitations","Anaphylaxis",0
"272","Paralysis/Spinal Trauma","Anaphylaxis",0
"273","Poisoning/Toxic Exposure","Anaphylaxis",0
"274","Resp. Arrest","Anaphylaxis",0
"275","Resp. Disease","Anaphylaxis",0
"276","Resp. Distress","Anaphylaxis",3
"277","Seizure/Post Ictal","Anaphylaxis",0
"278","Sepsis (Prev. Dx)","Anaphylaxis",0
"279","Stroke/TIA","Anaphylaxis",0
"280","Syncope","Anaphylaxis",0
"281","Trauma Unknown (Dispatch Only)","Anaphylaxis",0
"282","Traumatic Arrest","Anaphylaxis",0
"283","Treatment - Diagnostic/Return","Anaphylaxis",0
"284","Unconscious","Anaphylaxis",1
"285","Unknown (Dispatch Only)","Anaphylaxis",0
"286","","Back Pain",3
"287","Abdominal Pain NYD","Back Pain",3
"288","Abdominal Trauma","Back Pain",0
"289","Airway Trauma","Back Pain",0
"290","Alcohol Intoxication","Back Pain",0
"291","Altered LOC","Back Pain",0
"292","Anaphylaxis","Back Pain",0
"293","Back Pain","Back Pain",18
"294","Behaviour/Psychiatric","Back Pain",0
"295","Cardiac Trauma","Back Pain",0
"296","Cardiac/Medical Arrest","Back Pain",0
"297","Chest Trauma","Back Pain",0
"298","CHF","Back Pain",0
"299","Confusion/Disorientation","Back Pain",0
"300","Convalescent/Invalid/Return Home","Back Pain",0
"301","Diabetic Emergency","Back Pain",1
"302","Drug Overdose","Back Pain",0
"303","Exposure","Back Pain",0
"304","General Illness/Weakness","Back Pain",0
"305","GI Problems/Pain/Vomiting/Nausea","Back Pain",1
"306","GU Problem/Pain","Back Pain",0
"307","Gynecological Emergency","Back Pain",0
"308","Head/Brain Trauma","Back Pain",0
"309","Headache","Back Pain",0
"310","Hemorrhage Minor","Back Pain",0
"311","Hemorrhage/Hypovolemia Major","Back Pain",0
"312","Hypotension Non-Traumatic","Back Pain",0
"313","Inhalation Injury","Back Pain",0
"314","Ischemic Chest Pain","Back Pain",7
"315","Lift Assist (Dispatch Only)","Back Pain",0
"316","Local Allergic Reaction","Back Pain",0
"317","Musk/Skel Trauma","Back Pain",0
"318","MVC (Dispatch Only)","Back Pain",1
"319","Myocardial Infarction(Dx)","Back Pain",0
"320","Newborn/Neonatal","Back Pain",0
"321","Obstetrical Emergency","Back Pain",0
"322","Obstruc./Anatomical/Med/Other","Back Pain",0
"323","Obstruc./Foreign Body","Back Pain",0
"324","Organ Donor","Back Pain",0
"325","Organ Retrieval","Back Pain",0
"326","Other Cardiac","Back Pain",0
"327","Other Medical/Trauma","Back Pain",2
"328","Palpitations","Back Pain",0
"329","Paralysis/Spinal Trauma","Back Pain",0
"330","Poisoning/Toxic Exposure","Back Pain",0
"331","Resp. Arrest","Back Pain",0
"332","Resp. Disease","Back Pain",0
"333","Resp. Distress","Back Pain",3
"334","Seizure/Post Ictal","Back Pain",0
"335","Sepsis (Prev. Dx)","Back Pain",0
"336","Stroke/TIA","Back Pain",0
"337","Syncope","Back Pain",1
"338","Trauma Unknown (Dispatch Only)","Back Pain",0
"339","Traumatic Arrest","Back Pain",1
"340","Treatment - Diagnostic/Return","Back Pain",0
"341","Unconscious","Back Pain",0
"342","Unknown (Dispatch Only)","Back Pain",0
"343","","Behaviour/Psychiatric",6
"344","Abdominal Pain NYD","Behaviour/Psychiatric",0
"345","Abdominal Trauma","Behaviour/Psychiatric",0
"346","Airway Trauma","Behaviour/Psychiatric",0
"347","Alcohol Intoxication","Behaviour/Psychiatric",0
"348","Altered LOC","Behaviour/Psychiatric",0
"349","Anaphylaxis","Behaviour/Psychiatric",0
"350","Back Pain","Behaviour/Psychiatric",0
"351","Behaviour/Psychiatric","Behaviour/Psychiatric",26
"352","Cardiac Trauma","Behaviour/Psychiatric",0
"353","Cardiac/Medical Arrest","Behaviour/Psychiatric",0
"354","Chest Trauma","Behaviour/Psychiatric",0
"355","CHF","Behaviour/Psychiatric",0
"356","Confusion/Disorientation","Behaviour/Psychiatric",0
"357","Convalescent/Invalid/Return Home","Behaviour/Psychiatric",0
"358","Diabetic Emergency","Behaviour/Psychiatric",0
"359","Drug Overdose","Behaviour/Psychiatric",2
"360","Exposure","Behaviour/Psychiatric",0
"361","General Illness/Weakness","Behaviour/Psychiatric",0
"362","GI Problems/Pain/Vomiting/Nausea","Behaviour/Psychiatric",0
"363","GU Problem/Pain","Behaviour/Psychiatric",0
"364","Gynecological Emergency","Behaviour/Psychiatric",0
"365","Head/Brain Trauma","Behaviour/Psychiatric",0
"366","Headache","Behaviour/Psychiatric",0
"367","Hemorrhage Minor","Behaviour/Psychiatric",0
"368","Hemorrhage/Hypovolemia Major","Behaviour/Psychiatric",0
"369","Hypotension Non-Traumatic","Behaviour/Psychiatric",0
"370","Inhalation Injury","Behaviour/Psychiatric",0
"371","Ischemic Chest Pain","Behaviour/Psychiatric",5
"372","Lift Assist (Dispatch Only)","Behaviour/Psychiatric",0
"373","Local Allergic Reaction","Behaviour/Psychiatric",0
"374","Musk/Skel Trauma","Behaviour/Psychiatric",0
"375","MVC (Dispatch Only)","Behaviour/Psychiatric",0
"376","Myocardial Infarction(Dx)","Behaviour/Psychiatric",0
"377","Newborn/Neonatal","Behaviour/Psychiatric",0
"378","Obstetrical Emergency","Behaviour/Psychiatric",0
"379","Obstruc./Anatomical/Med/Other","Behaviour/Psychiatric",0
"380","Obstruc./Foreign Body","Behaviour/Psychiatric",0
"381","Organ Donor","Behaviour/Psychiatric",0
"382","Organ Retrieval","Behaviour/Psychiatric",0
"383","Other Cardiac","Behaviour/Psychiatric",0
"384","Other Medical/Trauma","Behaviour/Psychiatric",0
"385","Palpitations","Behaviour/Psychiatric",0
"386","Paralysis/Spinal Trauma","Behaviour/Psychiatric",0
"387","Poisoning/Toxic Exposure","Behaviour/Psychiatric",0
"388","Resp. Arrest","Behaviour/Psychiatric",0
"389","Resp. Disease","Behaviour/Psychiatric",0
"390","Resp. Distress","Behaviour/Psychiatric",0
"391","Seizure/Post Ictal","Behaviour/Psychiatric",0
"392","Sepsis (Prev. Dx)","Behaviour/Psychiatric",0
"393","Stroke/TIA","Behaviour/Psychiatric",1
"394","Syncope","Behaviour/Psychiatric",0
"395","Trauma Unknown (Dispatch Only)","Behaviour/Psychiatric",0
"396","Traumatic Arrest","Behaviour/Psychiatric",0
"397","Treatment - Diagnostic/Return","Behaviour/Psychiatric",0
"398","Unconscious","Behaviour/Psychiatric",2
"399","Unknown (Dispatch Only)","Behaviour/Psychiatric",2
"400","","Cardiac Trauma",0
"401","Abdominal Pain NYD","Cardiac Trauma",0
"402","Abdominal Trauma","Cardiac Trauma",0
"403","Airway Trauma","Cardiac Trauma",0
"404","Alcohol Intoxication","Cardiac Trauma",0
"405","Altered LOC","Cardiac Trauma",0
"406","Anaphylaxis","Cardiac Trauma",0
"407","Back Pain","Cardiac Trauma",0
"408","Behaviour/Psychiatric","Cardiac Trauma",0
"409","Cardiac Trauma","Cardiac Trauma",1
"410","Cardiac/Medical Arrest","Cardiac Trauma",0
"411","Chest Trauma","Cardiac Trauma",0
"412","CHF","Cardiac Trauma",0
"413","Confusion/Disorientation","Cardiac Trauma",0
"414","Convalescent/Invalid/Return Home","Cardiac Trauma",0
"415","Diabetic Emergency","Cardiac Trauma",0
"416","Drug Overdose","Cardiac Trauma",0
"417","Exposure","Cardiac Trauma",0
"418","General Illness/Weakness","Cardiac Trauma",0
"419","GI Problems/Pain/Vomiting/Nausea","Cardiac Trauma",0
"420","GU Problem/Pain","Cardiac Trauma",0
"421","Gynecological Emergency","Cardiac Trauma",0
"422","Head/Brain Trauma","Cardiac Trauma",0
"423","Headache","Cardiac Trauma",0
"424","Hemorrhage Minor","Cardiac Trauma",0
"425","Hemorrhage/Hypovolemia Major","Cardiac Trauma",0
"426","Hypotension Non-Traumatic","Cardiac Trauma",0
"427","Inhalation Injury","Cardiac Trauma",0
"428","Ischemic Chest Pain","Cardiac Trauma",1
"429","Lift Assist (Dispatch Only)","Cardiac Trauma",0
"430","Local Allergic Reaction","Cardiac Trauma",0
"431","Musk/Skel Trauma","Cardiac Trauma",0
"432","MVC (Dispatch Only)","Cardiac Trauma",0
"433","Myocardial Infarction(Dx)","Cardiac Trauma",0
"434","Newborn/Neonatal","Cardiac Trauma",0
"435","Obstetrical Emergency","Cardiac Trauma",0
"436","Obstruc./Anatomical/Med/Other","Cardiac Trauma",0
"437","Obstruc./Foreign Body","Cardiac Trauma",0
"438","Organ Donor","Cardiac Trauma",0
"439","Organ Retrieval","Cardiac Trauma",0
"440","Other Cardiac","Cardiac Trauma",0
"441","Other Medical/Trauma","Cardiac Trauma",0
"442","Palpitations","Cardiac Trauma",0
"443","Paralysis/Spinal Trauma","Cardiac Trauma",0
"444","Poisoning/Toxic Exposure","Cardiac Trauma",0
"445","Resp. Arrest","Cardiac Trauma",0
"446","Resp. Disease","Cardiac Trauma",0
"447","Resp. Distress","Cardiac Trauma",0
"448","Seizure/Post Ictal","Cardiac Trauma",0
"449","Sepsis (Prev. Dx)","Cardiac Trauma",0
"450","Stroke/TIA","Cardiac Trauma",0
"451","Syncope","Cardiac Trauma",0
"452","Trauma Unknown (Dispatch Only)","Cardiac Trauma",0
"453","Traumatic Arrest","Cardiac Trauma",0
"454","Treatment - Diagnostic/Return","Cardiac Trauma",0
"455","Unconscious","Cardiac Trauma",0
"456","Unknown (Dispatch Only)","Cardiac Trauma",1
"457","","Cardiac/Medical Arrest",18
"458","Abdominal Pain NYD","Cardiac/Medical Arrest",1
"459","Abdominal Trauma","Cardiac/Medical Arrest",0
"460","Airway Trauma","Cardiac/Medical Arrest",0
"461","Alcohol Intoxication","Cardiac/Medical Arrest",0
"462","Altered LOC","Cardiac/Medical Arrest",0
"463","Anaphylaxis","Cardiac/Medical Arrest",0
"464","Back Pain","Cardiac/Medical Arrest",0
"465","Behaviour/Psychiatric","Cardiac/Medical Arrest",0
"466","Cardiac Trauma","Cardiac/Medical Arrest",0
"467","Cardiac/Medical Arrest","Cardiac/Medical Arrest",90
"468","Chest Trauma","Cardiac/Medical Arrest",0
"469","CHF","Cardiac/Medical Arrest",0
"470","Confusion/Disorientation","Cardiac/Medical Arrest",0
"471","Convalescent/Invalid/Return Home","Cardiac/Medical Arrest",0
"472","Diabetic Emergency","Cardiac/Medical Arrest",0
"473","Drug Overdose","Cardiac/Medical Arrest",0
"474","Exposure","Cardiac/Medical Arrest",0
"475","General Illness/Weakness","Cardiac/Medical Arrest",0
"476","GI Problems/Pain/Vomiting/Nausea","Cardiac/Medical Arrest",0
"477","GU Problem/Pain","Cardiac/Medical Arrest",0
"478","Gynecological Emergency","Cardiac/Medical Arrest",0
"479","Head/Brain Trauma","Cardiac/Medical Arrest",0
"480","Headache","Cardiac/Medical Arrest",0
"481","Hemorrhage Minor","Cardiac/Medical Arrest",0
"482","Hemorrhage/Hypovolemia Major","Cardiac/Medical Arrest",0
"483","Hypotension Non-Traumatic","Cardiac/Medical Arrest",0
"484","Inhalation Injury","Cardiac/Medical Arrest",0
"485","Ischemic Chest Pain","Cardiac/Medical Arrest",2
"486","Lift Assist (Dispatch Only)","Cardiac/Medical Arrest",0
"487","Local Allergic Reaction","Cardiac/Medical Arrest",0
"488","Musk/Skel Trauma","Cardiac/Medical Arrest",0
"489","MVC (Dispatch Only)","Cardiac/Medical Arrest",1
"490","Myocardial Infarction(Dx)","Cardiac/Medical Arrest",0
"491","Newborn/Neonatal","Cardiac/Medical Arrest",0
"492","Obstetrical Emergency","Cardiac/Medical Arrest",1
"493","Obstruc./Anatomical/Med/Other","Cardiac/Medical Arrest",0
"494","Obstruc./Foreign Body","Cardiac/Medical Arrest",0
"495","Organ Donor","Cardiac/Medical Arrest",0
"496","Organ Retrieval","Cardiac/Medical Arrest",0
"497","Other Cardiac","Cardiac/Medical Arrest",0
"498","Other Medical/Trauma","Cardiac/Medical Arrest",3
"499","Palpitations","Cardiac/Medical Arrest",0
"500","Paralysis/Spinal Trauma","Cardiac/Medical Arrest",0
"501","Poisoning/Toxic Exposure","Cardiac/Medical Arrest",0
"502","Resp. Arrest","Cardiac/Medical Arrest",0
"503","Resp. Disease","Cardiac/Medical Arrest",0
"504","Resp. Distress","Cardiac/Medical Arrest",0
"505","Seizure/Post Ictal","Cardiac/Medical Arrest",0
"506","Sepsis (Prev. Dx)","Cardiac/Medical Arrest",0
"507","Stroke/TIA","Cardiac/Medical Arrest",0
"508","Syncope","Cardiac/Medical Arrest",0
"509","Trauma Unknown (Dispatch Only)","Cardiac/Medical Arrest",3
"510","Traumatic Arrest","Cardiac/Medical Arrest",1
"511","Treatment - Diagnostic/Return","Cardiac/Medical Arrest",0
"512","Unconscious","Cardiac/Medical Arrest",6
"513","Unknown (Dispatch Only)","Cardiac/Medical Arrest",3
"514","","Cardiogenic Shock",2
"515","Abdominal Pain NYD","Cardiogenic Shock",0
"516","Abdominal Trauma","Cardiogenic Shock",0
"517","Airway Trauma","Cardiogenic Shock",0
"518","Alcohol Intoxication","Cardiogenic Shock",0
"519","Altered LOC","Cardiogenic Shock",0
"520","Anaphylaxis","Cardiogenic Shock",0
"521","Back Pain","Cardiogenic Shock",0
"522","Behaviour/Psychiatric","Cardiogenic Shock",0
"523","Cardiac Trauma","Cardiogenic Shock",0
"524","Cardiac/Medical Arrest","Cardiogenic Shock",0
"525","Chest Trauma","Cardiogenic Shock",0
"526","CHF","Cardiogenic Shock",0
"527","Confusion/Disorientation","Cardiogenic Shock",0
"528","Convalescent/Invalid/Return Home","Cardiogenic Shock",0
"529","Diabetic Emergency","Cardiogenic Shock",0
"530","Drug Overdose","Cardiogenic Shock",0
"531","Exposure","Cardiogenic Shock",0
"532","General Illness/Weakness","Cardiogenic Shock",0
"533","GI Problems/Pain/Vomiting/Nausea","Cardiogenic Shock",0
"534","GU Problem/Pain","Cardiogenic Shock",0
"535","Gynecological Emergency","Cardiogenic Shock",0
"536","Head/Brain Trauma","Cardiogenic Shock",0
"537","Headache","Cardiogenic Shock",0
"538","Hemorrhage Minor","Cardiogenic Shock",0
"539","Hemorrhage/Hypovolemia Major","Cardiogenic Shock",0
"540","Hypotension Non-Traumatic","Cardiogenic Shock",0
"541","Inhalation Injury","Cardiogenic Shock",0
"542","Ischemic Chest Pain","Cardiogenic Shock",0
"543","Lift Assist (Dispatch Only)","Cardiogenic Shock",0
"544","Local Allergic Reaction","Cardiogenic Shock",0
"545","Musk/Skel Trauma","Cardiogenic Shock",0
"546","MVC (Dispatch Only)","Cardiogenic Shock",0
"547","Myocardial Infarction(Dx)","Cardiogenic Shock",0
"548","Newborn/Neonatal","Cardiogenic Shock",0
"549","Obstetrical Emergency","Cardiogenic Shock",0
"550","Obstruc./Anatomical/Med/Other","Cardiogenic Shock",0
"551","Obstruc./Foreign Body","Cardiogenic Shock",0
"552","Organ Donor","Cardiogenic Shock",0
"553","Organ Retrieval","Cardiogenic Shock",0
"554","Other Cardiac","Cardiogenic Shock",0
